# Crusher Tablet Simulation — slide joint
# Generated,2026-06-05T14:11:10
# STL,tablet_R4.0_AR1.00_CV0.08.stl,R_mm,4.0,AR,1.0,CV,0.08
# density_kg_m3,1200.0,slide_damping_Nsm,10.0
# solref_tau_s,0.020000
# MOTOR_CTRL_Nm,-0.5,MOTOR_DELAY_s,3.0
# F_Y_max_N,0.02606,F_Y_min_N,-0.02480,Impulse_Ns,-0.000815,disp_max_mm,1.6544

Time_s,F_X_N,F_Y_N,F_Z_N,F_mag_N,Slider_Y_mm,Tablet_Y_mm,Gap_mm,Slide_disp_mm,Slide_vel_mms,Crank_vel_rads,Motor_dir,ncon
26.40600,0.000000,0.000000,0.000000,0.000000,219.9521,335.2405,115.2884,0.08150,0.00000,-0.894196,CCW,0
26.40800,0.000000,0.000000,0.000000,0.000000,219.9886,335.2405,115.2519,0.08150,0.00000,-0.893618,CCW,0
26.41000,0.000000,0.000000,0.000000,0.000000,220.0249,335.2405,115.2156,0.08150,0.00000,-0.893041,CCW,0
26.41200,0.000000,0.000000,0.000000,0.000000,220.0613,335.2405,115.1792,0.08150,0.00000,-0.892466,CCW,0
26.41400,0.000000,0.000000,0.000000,0.000000,220.0976,335.2405,115.1429,0.08150,0.00000,-0.891891,CCW,0
26.41600,0.000000,0.000000,0.000000,0.000000,220.1339,335.2405,115.1066,0.08150,0.00000,-0.891318,CCW,0
26.41800,0.000000,0.000000,0.000000,0.000000,220.1702,335.2405,115.0703,0.08150,0.00000,-0.890746,CCW,0
26.42000,0.000000,0.000000,0.000000,0.000000,220.2064,335.2405,115.0341,0.08150,0.00000,-0.890175,CCW,0
26.42200,0.000000,0.000000,0.000000,0.000000,220.2426,335.2405,114.9979,0.08150,0.00000,-0.889606,CCW,0
26.42400,0.000000,0.000000,0.000000,0.000000,220.2788,335.2405,114.9617,0.08150,0.00000,-0.889037,CCW,0
26.42600,0.000000,0.000000,0.000000,0.000000,220.3149,335.2405,114.9256,0.08150,0.00000,-0.888470,CCW,0
26.42800,0.000000,0.000000,0.000000,0.000000,220.3510,335.2405,114.8895,0.08150,0.00000,-0.887904,CCW,0
26.43000,0.000000,0.000000,0.000000,0.000000,220.3871,335.2405,114.8534,0.08150,0.00000,-0.887338,CCW,0
26.43200,0.000000,0.000000,0.000000,0.000000,220.4232,335.2405,114.8173,0.08150,0.00000,-0.886774,CCW,0
26.43400,0.000000,0.000000,0.000000,0.000000,220.4592,335.2405,114.7813,0.08150,0.00000,-0.886212,CCW,0
26.43600,0.000000,0.000000,0.000000,0.000000,220.4952,335.2405,114.7453,0.08150,0.00000,-0.885650,CCW,0
26.43800,0.000000,0.000000,0.000000,0.000000,220.5311,335.2405,114.7094,0.08150,0.00000,-0.885089,CCW,0
26.44000,0.000000,0.000000,0.000000,0.000000,220.5670,335.2405,114.6735,0.08150,0.00000,-0.884530,CCW,0
26.44200,0.000000,0.000000,0.000000,0.000000,220.6029,335.2405,114.6376,0.08150,0.00000,-0.883972,CCW,0
26.44400,0.000000,0.000000,0.000000,0.000000,220.6388,335.2405,114.6017,0.08150,0.00000,-0.883415,CCW,0
26.44600,0.000000,0.000000,0.000000,0.000000,220.6746,335.2405,114.5659,0.08150,0.00000,-0.882859,CCW,0
26.44800,0.000000,0.000000,0.000000,0.000000,220.7104,335.2405,114.5301,0.08150,0.00000,-0.882304,CCW,0
26.45000,0.000000,0.000000,0.000000,0.000000,220.7462,335.2405,114.4943,0.08150,0.00000,-0.881750,CCW,0
